EMPRESA;PROYECTOS A ELIMINAR
AU_ZENER AUSTRAL;*ES000*
AU_ZENER AUSTRAL;*MODES*
AU_ZENER AUSTRAL;*CRU*
AU_ZENER AUSTRAL;*MARGEN*
EN_ZENER ENCITEL;*ES000*
EN_ZENER ENCITEL;*MODES*
EN_ZENER ENCITEL;*CRU*
EN_ZENER ENCITEL;*MARGEN*
IN_GEST. E INSTAL. INSATEL;*ES000*
IN_GEST. E INSTAL. INSATEL;*MODES*
IN_GEST. E INSTAL. INSATEL;*CRU*
IN_GEST. E INSTAL. INSATEL;*MARGEN*
PB_ZENER TELECOM BV;*ES000*
PB_ZENER TELECOM BV;*MODES*
PB_ZENER TELECOM BV;*CRU*
PB_ZENER TELECOM BV;*MARGEN*
PE_ZENER PERU;*ES000*
PE_ZENER PERU;*MODES*
PE_ZENER PERU;*CRU*
PE_ZENER PERU;*MARGEN*
PROJECT IT_ZENER TELECOMUNICAZIONE;*ES000*
PROJECT IT_ZENER TELECOMUNICAZIONE;*MODES*
PROJECT IT_ZENER TELECOMUNICAZIONE;*CRU*
PROJECT IT_ZENER TELECOMUNICAZIONE;*MARGEN*
PT_CLOUDSENTINIEL;*ES000*
PT_CLOUDSENTINIEL;*MODES*
PT_CLOUDSENTINIEL;*CRU*
PT_CLOUDSENTINIEL;*MARGEN*
RZ_RZT INGENIERÍA Y PROYECTOS;*ES000*
RZ_RZT INGENIERÍA Y PROYECTOS;*MODES*
RZ_RZT INGENIERÍA Y PROYECTOS;*CRU*
RZ_RZT INGENIERÍA Y PROYECTOS;*MARGEN*
TL_TELECOMUNICACION DE LEVANTE;*ES000*
TL_TELECOMUNICACION DE LEVANTE;*MODES*
TL_TELECOMUNICACION DE LEVANTE;*CRU*
TL_TELECOMUNICACION DE LEVANTE;*MARGEN*
XC_DIGITAL CABLE DE LEVANTE;*ES000*
XC_DIGITAL CABLE DE LEVANTE;*MODES*
XC_DIGITAL CABLE DE LEVANTE;*CRU*
XC_DIGITAL CABLE DE LEVANTE;*MARGEN*
XL_DIGICALL LEVANTE;*ES000*
XL_DIGICALL LEVANTE;*MODES*
XL_DIGICALL LEVANTE;*CRU*
XL_DIGICALL LEVANTE;*MARGEN*
ZA_ZENER ALARMAS;*ES000*
ZA_ZENER ALARMAS;*MODES*
ZA_ZENER ALARMAS;*CRU*
ZA_ZENER ALARMAS;*MARGEN*
ZC_ZENER COMUNICACIONES;*ES000*
ZC_ZENER COMUNICACIONES;*MODES*
ZC_ZENER COMUNICACIONES;*CRU*
ZC_ZENER COMUNICACIONES;*MARGEN*
ZP_ZENER PLUS;ZP-CUPRAAL-24
ZP_ZENER PLUS;ZP-CUPRACA-24
ZP_ZENER PLUS;ZP-CUPRACANT-24
ZP_ZENER PLUS;ZP-CUPRAMA-24
ZP_ZENER PLUS;ZP-CUPRAMU-24
ZP_ZENER PLUS;ZP-CUPRAOV-24
ZP_ZENER PLUS;ZP-CUPRAPA-24
ZP_ZENER PLUS;ZP-CUPRAVA-24
ZP_ZENER PLUS;ZP-INTCANPEX
ZP_ZENER PLUS;ZP-INTERCANPXP
ZP_ZENER PLUS;ZP-INTERTEF-24
ZP_ZENER PLUS;*ES000*
ZP_ZENER PLUS;*MODES*
ZP_ZENER PLUS;*CRU*
ZP_ZENER PLUS;*MARGEN*
ZR_ZENER REDES;*ES000*
ZR_ZENER REDES;*MODES*
ZR_ZENER REDES;*CRU*
ZR_ZENER REDES;*MARGEN*
ZT_ZENER TELEKOM;*ES000*
ZT_ZENER TELEKOM;*MODES*
ZT_ZENER TELEKOM;*CRU*
ZT_ZENER TELEKOM;*MARGEN*
